Fecha,DolarToday,Dolar
40646,8.27,8.27E-05
40647,8.2,8.2E-05
40648,8.2,8.2E-05
40649,8.2,8.2E-05
40650,8.13,8.13E-05
40651,8.17,8.17E-05
40652,8.13,8.13E-05
40653,8.11,8.11E-05
40654,8.1,8.1E-05
40655,8.07,8.07E-05
40657,8.02,8.02E-05
40658,8.06,8.06E-05
40659,8.07,8.07E-05
40660,8.02,8.02E-05
40661,7.99,7.99E-05
40662,8.03,8.03E-05
40664,8.02,8.02E-05
40665,8.41,8.41E-05
40666,8.37,8.37E-05
40667,8.37,8.37E-05
40668,8.37,8.37E-05
40669,8.46,8.46E-05
40670,8.46,8.46E-05
40671,8.51,8.51E-05
40672,8.55,8.55E-05
40673,8.51,8.51E-05
40674,8.81,8.81E-05
40675,8.48,8.48E-05
40676,8.5,8.5E-05
40677,8.49,8.49E-05
40678,8.49,8.49E-05
40679,8.53,8.53E-05
40680,8.54,8.54E-05
40681,8.59,8.59E-05
40682,8.54,8.54E-05
40683,8.52,8.52E-05
40684,8.52,8.52E-05
40686,8.86,8.86E-05
40687,8.56,8.56E-05
40688,8.56,8.56E-05
40689,8.54,8.54E-05
40690,8.53,8.53E-05
40691,8.53,8.53E-05
40692,8.51,8.51E-05
40693,8.45,8.45E-05
40695,8.43,8.43E-05
40696,8.33,8.33E-05
40697,8.34,8.34E-05
40698,8.34,8.34E-05
40699,8.33,8.33E-05
40700,8.33,8.33E-05
40701,8.25,8.25E-05
40702,8.34,8.34E-05
40703,8.28,8.28E-05
40704,8.3,8.3E-05
40705,8.3,8.3E-05
40706,8.3,8.3E-05
40707,8.31,8.31E-05
40708,8.31,8.31E-05
40709,8.27,8.27E-05
40710,8.38,8.38E-05
40711,8.35,8.35E-05
40712,8.35,8.35E-05
40713,8.37,8.37E-05
40714,8.35,8.35E-05
40715,8.16,8.16E-05
40716,8.32,8.32E-05
40717,8.32,8.32E-05
40718,8.36,8.36E-05
40719,8.36,8.36E-05
40720,8.36,8.36E-05
40721,8.33,8.33E-05
40722,8.34,8.34E-05
40723,8.31,8.31E-05
40724,8.24,8.24E-05
40725,8.2,8.2E-05
40726,8.2,8.2E-05
40727,8.2,8.2E-05
40728,8.19,8.19E-05
40729,8.19,8.19E-05
40730,8.21,8.21E-05
40731,8.18,8.18E-05
40732,8.18,8.18E-05
40733,8.18,8.18E-05
40734,8.19,8.19E-05
40735,8.25,8.25E-05
40736,8.24,8.24E-05
40737,8.24,8.24E-05
40738,8.27,8.27E-05
40739,8.27,8.27E-05
40740,8.27,8.27E-05
40741,8.25,8.25E-05
40742,8.29,8.29E-05
40743,8.28,8.28E-05
40744,8.3,8.3E-05
40745,8.34,8.34E-05
40746,8.34,8.34E-05
40747,8.34,8.34E-05
40748,8.36,8.36E-05
40749,8.41,8.41E-05
40750,8.38,8.38E-05
40751,8.37,8.37E-05
40752,8.34,8.34E-05
40753,8.37,8.37E-05
40754,8.34,8.34E-05
40755,8.27,8.27E-05
40756,8.38,8.38E-05
40757,8.31,8.31E-05
40758,8.37,8.37E-05
40759,8.5,8.5E-05
40760,8.5,8.5E-05
40761,8.5,8.5E-05
40762,8.43,8.43E-05
40763,8.53,8.53E-05
40764,8.63,8.63E-05
40765,8.71,8.71E-05
40766,8.68,8.68E-05
40767,8.66,8.66E-05
40768,8.66,8.66E-05
40769,8.68,8.68E-05
40770,8.68,8.68E-05
40771,8.82,8.82E-05
40772,8.79,8.79E-05
40773,8.81,8.81E-05
40774,8.81,8.81E-05
40775,8.81,8.81E-05
40776,8.7,8.7E-05
40777,8.76,8.76E-05
40778,8.59,8.59E-05
40779,8.66,8.66E-05
40780,8.63,8.63E-05
40781,8.67,8.67E-05
40782,8.67,8.67E-05
40783,8.61,8.61E-05
40784,8.63,8.63E-05
40786,8.63,8.63E-05
40787,8.59,8.59E-05
40788,8.6,8.6E-05
40789,8.6,8.6E-05
40790,8.59,8.59E-05
40791,8.57,8.57E-05
40792,8.65,8.65E-05
40793,8.61,8.61E-05
40794,8.6,8.6E-05
40795,8.64,8.64E-05
40796,8.64,8.64E-05
40797,8.63,8.63E-05
40798,8.68,8.68E-05
40799,8.76,8.76E-05
40800,8.82,8.82E-05
40801,8.82,8.82E-05
40802,8.76,8.76E-05
40803,8.76,8.76E-05
40804,8.75,8.75E-05
40805,8.75,8.75E-05
40806,8.89,8.89E-05
40807,9.08,9.08E-05
40809,8.96,8.96E-05
40810,8.96,8.96E-05
