"time","timeDate","close","high","low","open","volumefrom","volumeto","volume"
1288310400000,"2010-10-28",0.19,0.19,0.173,0.1731,28686.85,5380.49,NaN
1288396800000,"2010-10-29",0.1989,0.199,0.1875,0.19,26708.94,5112.03,NaN
1288483200000,"2010-10-30",0.1925,0.1989,0.171,0.1989,40337.76,7829.46,NaN
1288569600000,"2010-10-31",0.1955,0.1955,0.172,0.1925,21258.61,4049.75,NaN
1288656000000,"2010-11-01",0.1938,0.195,0.1905,0.1955,5853.39,1121.34,NaN
1288742400000,"2010-11-02",0.1931,0.275,0.125,0.1938,61472.63,11769.61,NaN
1288828800000,"2010-11-03",0.23,0.236,0.1934,0.1931,29698.43,6229.16,NaN
1288915200000,"2010-11-04",0.26,0.2639,0.2101,0.23,36622.07,8757.15,NaN
1289001600000,"2010-11-05",0.39,0.5,0.2402,0.26,32756.13,9396.96,NaN
1289088000000,"2010-11-06",0.34,0.47,0.286,0.39,77218.72,27937.74,NaN
1289174400000,"2010-11-07",0.243,0.37,0.2261,0.34,118203.83,38339.26,NaN
1289260800000,"2010-11-08",0.21,0.323,0.199,0.243,47983.39,12808.3,NaN
1289347200000,"2010-11-09",0.24,0.24,0.14,0.21,30387.03,6110.13,NaN
1289433600000,"2010-11-10",0.2231,0.24,0.21,0.24,5031.88,1111.55,NaN
1289520000000,"2010-11-11",0.2682,0.29,0.223,0.2231,40720.39,10494.46,NaN
1289606400000,"2010-11-12",0.276,0.3,0.2683,0.2682,21915.57,6351.58,NaN
1289692800000,"2010-11-13",0.279,0.299,0.2702,0.276,16844.33,4793.81,NaN
1289779200000,"2010-11-14",0.2682,0.2828,0.2682,0.279,8507.74,2337.5,NaN
1289865600000,"2010-11-15",0.223,0.275,0.223,0.2682,33931.01,8609.67,NaN
1289952000000,"2010-11-16",0.2299,0.29,0.2116,0.223,32871.6,8662.61,NaN
1290038400000,"2010-11-17",0.2678,0.283,0.2221,0.2299,37446.67,10253.27,NaN
1290124800000,"2010-11-18",0.28,0.28,0.2682,0.2678,2157.56,583.45,NaN
1290211200000,"2010-11-19",0.283,0.29,0.2682,0.28,14652.69,4119.07,NaN
1290297600000,"2010-11-20",0.2767,0.282,0.2763,0.283,765,212.67,NaN
