"time","timeDate","close","high","low","open","volumefrom","volumeto","volume"
1538611200000,"2018-10-03",769927.31,769927.31,769927.31,769927.31,53.41,41970763.86,NaN
1538697600000,"2018-10-04",814983.39,1000000,709300.35,772001.21,80.92,65938289.67,NaN
1538784000000,"2018-10-05",805019.64,830999.95,705000,801000.18,51.7,43546800.4,NaN
1538870400000,"2018-10-06",847100.11,919999.17,705000.96,805019.64,49.44,42463732.65,NaN
1538956800000,"2018-10-07",840200.81,882625.78,700003.47,820000,46.96,40798733.54,NaN
1539043200000,"2018-10-08",882000.14,882000.14,882000.14,882000.14,41.1,36812381.24,NaN
1539129600000,"2018-10-09",913001.04,913001.04,913001.04,913001.04,29.51,27385024.25,NaN
1539216000000,"2018-10-10",900000.9,900000.9,900000.9,900000.9,19.86,19313114.97,NaN
1539302400000,"2018-10-11",985100.02,989699.98,937704.63,937704.63,67.57,65701699.99,NaN
1539388800000,"2018-10-12",988999.95,1024998.58,819999.8,920998.77,44.94,41977165.44,NaN
1539475200000,"2018-10-13",935600.07,988999.95,935600.07,988999.95,39.44,36932532.29,NaN
1539561600000,"2018-10-14",990410,1150000.02,700010.5,935600.07,86.44,85436728.27,NaN
1539648000000,"2018-10-15",966100.19,966100.19,966100.19,966100.19,45.55,47054665.53,NaN
1539734400000,"2018-10-16",998001,1174990.02,982000.23,1018300.13,41.21,45559307.83,NaN
1539820800000,"2018-10-17",1058000.34,1058000.34,1058000.34,1058000.34,39.27,45532237.17,NaN
1539907200000,"2018-10-18",1095000.41,1095000.41,1095000.41,1095000.41,39.4,45674891.21,NaN
1539993600000,"2018-10-19",1124999.86,1124999.86,1124999.86,1124999.86,60.9,70919786.49,NaN
1540080000000,"2018-10-20",1118000.02,1118000.02,1118000.02,1118000.02,32.72,38693492.5,NaN
1540166400000,"2018-10-21",1160101.46,1297440.03,1118000.02,1118000.02,43.74,52222823.7,NaN
1540252800000,"2018-10-22",1186099.99,1186099.99,1186099.99,1186099.99,39.25,47948004.94,NaN
1540339200000,"2018-10-23",1218001.36,1218001.36,1218001.36,1218001.36,34.62,43969023.98,NaN
1540425600000,"2018-10-24",1210854.85,1210854.85,1210854.85,1210854.85,42.27,54013451.47,NaN
1540512000000,"2018-10-25",1218302.03,1218302.03,1218302.03,1218302.03,36.02,46804130.23,NaN
1540598400000,"2018-10-26",1294998.84,1332099.89,1272524.76,1272524.76,57.3,76356400.25,NaN
1540684800000,"2018-10-27",1294998.84,1294998.84,1294998.84,1294998.84,36.97,49902845.57,NaN
1540771200000,"2018-10-28",1323206.39,1323206.39,1294998.84,1294998.84,46.13,63930034.24,NaN
1540857600000,"2018-10-29",1405899.45,1405899.45,1405899.45,1405899.45,47.54,67158625.92,NaN
1540944000000,"2018-10-30",1436653.09,1500000,926286.15,1347981.4,53.77,77477543.82,NaN
1541030400000,"2018-10-31",1416000.01,1416000.01,1416000.01,1416000.01,28.6,42933447.48,NaN
1541116800000,"2018-11-01",1534999.52,1534999.52,1460003.21,1460003.21,38.07,59285873.52,NaN
1541203200000,"2018-11-02",1705000.12,1705000.12,1705000.12,1705000.12,38,62971249.3,NaN
1541289600000,"2018-11-03",1635000.04,1635000.04,1635000.04,1635000.04,40.35,66992506.46,NaN
1541376000000,"2018-11-04",1681009.86,1681009.86,1635000.04,1635000.04,55.07,91131004.35,NaN
1541462400000,"2018-11-05",1586105,1630000.09,1430102.82,1611040.03,42.32,66961172.64,NaN
1541548800000,"2018-11-06",1625299.42,1625299.42,1625299.42,1625299.42,34.01,56567658.44,NaN
1541635200000,"2018-11-07",1650894.45,1650894.45,1634998.01,1634998.01,37.62,64753317.98,NaN
1541721600000,"2018-11-08",1661210.95,1740881.54,1409999.72,1707100.49,45.03,76802330.35,NaN
1541808000000,"2018-11-09",1670013.8,1690299.88,1618489.63,1618489.63,22.89,39508476.26,NaN
1541894400000,"2018-11-10",1648200.53,1726060.08,1648200.53,1726060.08,24.9,42747041.86,NaN
1541980800000,"2018-11-11",1675490.92,1900057,100000,1648200.53,78.18,135305968.89,NaN
1542067200000,"2018-11-12",1600107.53,1600107.53,1600107.53,1600107.53,40.83,71274723.55,NaN
1542153600000,"2018-11-13",1603980.78,1836999.99,993956.74,1731081.22,87.29,147307387,NaN
1542240000000,"2018-11-14",1520010.74,1747997.09,1520002.59,1566050.12,59.22,93228005.35,NaN
1542326400000,"2018-11-15",1611999.99,1611999.99,1520001.7,1520001.7,36.58,58466561.08,NaN
1542412800000,"2018-11-16",1597800.01,1597800.01,1597800.01,1597800.01,16.1,26252754.97,NaN
1542499200000,"2018-11-17",1562964.73,1562964.73,1562964.73,1562964.73,39.92,66945651.78,NaN
1542585600000,"2018-11-18",1596066.27,2800000,1000000,1562964.73,107.64,173001998.29,NaN
1542672000000,"2018-11-19",1471201.35,1471201.35,1471201.35,1471201.35,46.21,65054403.15,NaN
1542758400000,"2018-11-20",1400100.06,1400100.06,1400100.06,1400100.06,59.17,89480162.35,NaN
1542844800000,"2018-11-21",1620000.04,1620000.04,1416110.65,1509999.97,59.61,94603673.52,NaN
1542931200000,"2018-11-22",1585456.08,1653001.85,1420001.83,1653001.85,47.82,78086381.73,NaN
1543017600000,"2018-11-23",1550954.03,1670499.79,1550954.03,1620070.95,34.9,58079427.36,NaN
1543104000000,"2018-11-24",1500259.92,1673007.36,1150001.76,1550954.03,52.67,78875467.04,NaN
1543190400000,"2018-11-25",1450500,1580000.09,1281011.14,1281011.14,63.97,99159591.27,NaN
1543276800000,"2018-11-26",1499000.05,1571099.81,1480050.94,1571099.81,5.845,8946174.18,NaN
1543363200000,"2018-11-27",1499000.05,1499000.05,1499000.05,1499000.05,0,0,NaN
1543449600000,"2018-11-28",1800000.55,1800000.55,1800000.55,1800000.55,49.89,101922495.4,NaN
1543536000000,"2018-11-29",1950003.31,2999962.5,1520001.7,2100000.58,47.78,92772494.88,NaN
1543622400000,"2018-11-30",1896847.53,1896847.53,1896847.53,1896847.53,40.32,81008634.04,NaN
1543708800000,"2018-12-01",1990000.12,1990000.12,1990000.12,1990000.12,52.43,105072447.15,NaN
1543795200000,"2018-12-02",1992100.09,1992100.09,1855616.42,1988000,51.61,100750026.51,NaN
1543881600000,"2018-12-03",1910070.08,1930099.89,1550000,1732000.28,48.34,93787382.19,NaN
